year	site	block	plot	sr	fr	fgc	mix.nest	mix	grass	forb	legume	funct	GRASS	FORB	LEG	species	level	biomass
1	Germany	B	B1P035	2	2	4	15	15	Yes	Yes	No	NA	NA	NA	NA	NA	Community	505.7
1	Germany	A	B1P005	2	2	4	16	16	Yes	Yes	No	NA	NA	NA	NA	NA	Community	851.7
1	Germany	B	B1P049	2	2	4	16	16	Yes	Yes	No	NA	NA	NA	NA	NA	Community	537.7
1	Germany	A	B1P014	2	2	4	17	17	Yes	Yes	No	NA	NA	NA	NA	NA	Community	380.4
1	Germany	B	B1P062	2	2	4	17	17	Yes	Yes	No	NA	NA	NA	NA	NA	Community	703
1	Germany	A	B1P010	4	1	1	18	18	Yes	No	No	NA	NA	NA	NA	NA	Community	345.3
1	Germany	B	B1P050	4	1	1	18	18	Yes	No	No	NA	NA	NA	NA	NA	Community	606.3
1	Germany	A	B1P031	4	2	5	19	19	Yes	No	Yes	NA	NA	NA	NA	NA	Community	426.1
1	Germany	B	B1P057	4	2	5	19	19	Yes	No	Yes	NA	NA	NA	NA	NA	Community	645.6
1	Germany	A	B1P013	4	2	4	20	20	Yes	Yes	No	NA	NA	NA	NA	NA	Community	451.4
1	Germany	B	B1P040	4	2	4	20	20	Yes	Yes	No	NA	NA	NA	NA	NA	Community	371.1
1	Germany	A	B1P023	4	3	7	21	21	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	957.2
1	Germany	B	B1P055	4	3	7	21	21	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	418
1	Germany	A	B1P017	4	3	7	22	22	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	798.2
1	Germany	B	B1P036	4	3	7	22	22	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	1021.6
1	Germany	A	B1P016	8	1	1	23	23	Yes	No	No	NA	NA	NA	NA	NA	Community	442.5
1	Germany	B	B1P045	8	1	1	23	23	Yes	No	No	NA	NA	NA	NA	NA	Community	961
1	Germany	A	B1P015	8	2	5	24	24	Yes	No	Yes	NA	NA	NA	NA	NA	Community	386.5
1	Germany	B	B1P059	8	2	5	24	24	Yes	No	Yes	NA	NA	NA	NA	NA	Community	494.9
1	Germany	A	B1P022	8	2	4	25	25	Yes	Yes	No	NA	NA	NA	NA	NA	Community	474.7
1	Germany	B	B1P044	8	2	4	25	25	Yes	Yes	No	NA	NA	NA	NA	NA	Community	410.7
1	Germany	A	B1P009	8	3	7	26	26	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	657.1
1	Germany	B	B1P064	8	3	7	26	26	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	306.3
1	Germany	A	B1P026	8	3	7	27	27	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	538.8
1	Germany	B	B1P037	8	3	7	27	27	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	306.3
1	Germany	A	B1P028	16	3	7	28	28	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	244.6
1	Germany	B	B1P051	16	3	7	28	28	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	642.4
1	Germany	A	B1P002	16	3	7	29	29	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	465.7
1	Germany	B	B1P056	16	3	7	29	29	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	719.2
1	Germany	A	B1P011	16	3	7	30	30	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	524.3
1	Germany	B	B1P038	16	3	7	30	30	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	813.3
1	Portugal	C	C2P008	1	1	1	31	3	Yes	No	No	NA	NA	NA	NA	NA	Community	39.2
1	Portugal	C	C2P018	1	1	1	31	3	Yes	No	No	NA	NA	NA	NA	NA	Community	70
1	Portugal	C	C2P002	1	1	1	32	5	Yes	No	No	NA	NA	NA	NA	NA	Community	320.5
1	Portugal	C	C2P030	1	1	1	32	5	Yes	No	No	NA	NA	NA	NA	NA	Community	146.4
1	Portugal	C	C2P007	1	1	2	33	9	No	Yes	No	NA	NA	NA	NA	NA	Community	36
1	Portugal	C	C2P047	1	1	2	33	9	No	Yes	No	NA	NA	NA	NA	NA	Community	81.6
1	Portugal	C	C2P034	1	1	1	34	31	Yes	No	No	NA	NA	NA	NA	NA	Community	82.5
1	Portugal	C	C2P046	1	1	1	34	31	Yes	No	No	NA	NA	NA	NA	NA	Community	245.6
1	Portugal	C	C2P019	1	1	1	35	32	Yes	No	No	NA	NA	NA	NA	NA	Community	304.7
1	Portugal	C	C2P041	1	1	1	35	32	Yes	No	No	NA	NA	NA	NA	NA	Community	310
1	Portugal	C	C2P015	1	1	1	36	33	Yes	No	No	NA	NA	NA	NA	NA	Community	102.6
1	Portugal	C	C2P016	1	1	1	36	33	Yes	No	No	NA	NA	NA	NA	NA	Community	128.6
1	Portugal	C	C2P017	1	1	3	37	34	No	No	Yes	NA	NA	NA	NA	NA	Community	136.5
1	Portugal	C	C2P025	1	1	3	37	34	No	No	Yes	NA	NA	NA	NA	NA	Community	162.9
1	Portugal	C	C2P032	1	1	3	38	35	No	No	Yes	NA	NA	NA	NA	NA	Community	223.3
1	Portugal	C	C2P044	1	1	3	38	35	No	No	Yes	NA	NA	NA	NA	NA	Community	126.7
1	Portugal	C	C2P014	1	1	3	39	36	No	No	Yes	NA	NA	NA	NA	NA	Community	9.8
1	Portugal	C	C2P049	1	1	3	39	36	No	No	Yes	NA	NA	NA	NA	NA	Community	76.8
1	Portugal	C	C2P012	1	1	2	40	37	No	Yes	No	NA	NA	NA	NA	NA	Community	44.6
1	Portugal	C	C2P013	1	1	2	40	37	No	Yes	No	NA	NA	NA	NA	NA	Community	18.2
1	Portugal	C	C2P001	1	1	2	41	38	No	Yes	No	NA	NA	NA	NA	NA	Community	177.2
1	Portugal	C	C2P038	1	1	2	41	38	No	Yes	No	NA	NA	NA	NA	NA	Community	353.9
1	Portugal	C	C2P005	1	1	2	42	39	No	Yes	No	NA	NA	NA	NA	NA	Community	362.4
1	Portugal	C	C2P021	1	1	2	42	39	No	Yes	No	NA	NA	NA	NA	NA	Community	310
1	Portugal	C	C2P010	1	1	2	43	40	No	Yes	No	NA	NA	NA	NA	NA	Community	66.9
1	Portugal	C	C2P051	1	1	2	43	40	No	Yes	No	NA	NA	NA	NA	NA	Community	43.8
1	Portugal	C	C2P056	1	1	2	44	41	No	Yes	No	NA	NA	NA	NA	NA	Community	427.8
1	Portugal	C	C2P057	1	1	2	44	41	No	Yes	No	NA	NA	NA	NA	NA	Community	308.5
1	Portugal	C	C2P048	2	1	1	45	42	Yes	No	No	NA	NA	NA	NA	NA	Community	179.4
1	Portugal	C	C2P050	2	1	1	45	42	Yes	No	No	NA	NA	NA	NA	NA	Community	103.4
1	Portugal	C	C2P028	2	1	1	46	43	Yes	No	No	NA	NA	NA	NA	NA	Community	305.4
1	Portugal	C	C2P035	2	1	1	46	43	Yes	No	No	NA	NA	NA	NA	NA	Community	283.8
1	Portugal	C	C2P039	2	2	4	47	44	Yes	Yes	No	NA	NA	NA	NA	NA	Community	383.8
1	Portugal	C	C2P042	2	2	4	47	44	Yes	Yes	No	NA	NA	NA	NA	NA	Community	378.7
1	Portugal	C	C2P004	2	2	4	48	45	Yes	Yes	No	NA	NA	NA	NA	NA	Community	192.9
1	Portugal	C	C2P024	2	2	4	48	45	Yes	Yes	No	NA	NA	NA	NA	NA	Community	222.3
1	Portugal	C	C2P052	2	2	5	49	46	Yes	No	Yes	NA	NA	NA	NA	NA	Community	291.4
1	Portugal	C	C2P058	2	2	5	49	46	Yes	No	Yes	NA	NA	NA	NA	NA	Community	136.3
1	Portugal	C	C2P033	4	3	7	50	47	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	137.9
1	Portugal	C	C2P053	4	3	7	50	47	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	103.5
1	Portugal	C	C2P029	4	3	7	51	48	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	126.6
1	Portugal	C	C2P043	4	3	7	51	48	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	384.5
1	Portugal	C	C2P009	4	3	7	52	49	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	373.4
1	Portugal	C	C2P020	4	3	7	52	49	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	365.6
1	Portugal	C	C2P027	4	3	7	53	50	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	69.7
1	Portugal	C	C2P045	4	3	7	53	50	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	79.9
1	Portugal	C	C2P003	4	3	7	54	51	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	373
1	Portugal	C	C2P036	4	3	7	54	51	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	546.6
1	Portugal	C	C2P006	8	3	7	55	52	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	283.4
1	Portugal	C	C2P055	8	3	7	55	52	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	236.7
1	Portugal	C	C2P054	8	3	7	56	53	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	353.6
1	Portugal	C	C2P067	8	3	7	56	53	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	416.4
1	Portugal	C	C2P026	14	3	7	57	54	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	580
1	Portugal	C	C2P040	14	3	7	57	54	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	513.5
1	Portugal	C	C2P064	14	3	7	57	54	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	666
1	Portugal	C	C2P065	14	3	7	57	54	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	414.9
1	Switzerland	D	L3P011	1	1	1	58	2	Yes	No	No	NA	NA	NA	NA	NA	Community	301.9
1	Switzerland	E	L3P036	1	1	1	58	2	Yes	No	No	NA	NA	NA	NA	NA	Community	420.5
1	Switzerland	D	L3P031	1	1	1	59	3	Yes	No	No	NA	NA	NA	NA	NA	Community	95.2
1	Switzerland	E	L3P049	1	1	1	59	3	Yes	No	No	NA	NA	NA	NA	NA	Community	238.5
1	Switzerland	D	L3P008	1	1	3	60	6	No	No	Yes	NA	NA	NA	NA	NA	Community	680.7
1	Switzerland	E	L3P045	1	1	3	60	6	No	No	Yes	NA	NA	NA	NA	NA	Community	1129.7
1	Switzerland	D	L3P013	1	1	3	61	7	No	No	Yes	NA	NA	NA	NA	NA	Community	512.2
1	Switzerland	E	L3P038	1	1	3	61	7	No	No	Yes	NA	NA	NA	NA	NA	Community	525.9
1	Switzerland	D	L3P004	1	1	2	62	9	No	Yes	No	NA	NA	NA	NA	NA	Community	207
1	Switzerland	E	L3P042	1	1	2	62	9	No	Yes	No	NA	NA	NA	NA	NA	Community	261.6
1	Switzerland	D	L3P001	1	1	1	63	55	Yes	No	No	NA	NA	NA	NA	NA	Community	172.5
1	Switzerland	E	L3P043	1	1	1	63	55	Yes	No	No	NA	NA	NA	NA	NA	Community	107.8
1	Switzerland	D	L3P002	4	1	1	64	56	Yes	No	No	NA	NA	NA	NA	NA	Community	440.5
1	Switzerland	E	L3P035	4	1	1	64	56	Yes	No	No	NA	NA	NA	NA	NA	Community	429.6
1	Switzerland	D	L3P003	4	3	7	65	57	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	1059.6
1	Switzerland	E	L3P051	4	3	7	65	57	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	781.2
1	Switzerland	D	L3P005	4	2	4	66	58	Yes	Yes	No	NA	NA	NA	NA	NA	Community	548.8
1	Switzerland	E	L3P062	4	2	4	66	58	Yes	Yes	No	NA	NA	NA	NA	NA	Community	434.4
1	Switzerland	D	L3P006	8	3	7	67	59	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	692.8
1	Switzerland	E	L3P048	8	3	7	67	59	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	620.2
1	Switzerland	D	L3P007	4	2	5	68	60	Yes	No	Yes	NA	NA	NA	NA	NA	Community	839.8
1	Switzerland	E	L3P044	4	2	5	68	60	Yes	No	Yes	NA	NA	NA	NA	NA	Community	614.7
1	Switzerland	D	L3P009	8	1	1	69	61	Yes	No	No	NA	NA	NA	NA	NA	Community	338.8
1	Switzerland	E	L3P059	8	1	1	69	61	Yes	No	No	NA	NA	NA	NA	NA	Community	254.5
1	Switzerland	D	L3P010	2	2	5	70	62	Yes	No	Yes	NA	NA	NA	NA	NA	Community	516.9
1	Switzerland	E	L3P040	2	2	5	70	62	Yes	No	Yes	NA	NA	NA	NA	NA	Community	867
1	Switzerland	D	L3P012	2	1	1	71	63	Yes	No	No	NA	NA	NA	NA	NA	Community	653.9
1	Switzerland	E	L3P047	2	1	1	71	63	Yes	No	No	NA	NA	NA	NA	NA	Community	541.4
1	Switzerland	D	L3P014	2	2	4	72	64	Yes	Yes	No	NA	NA	NA	NA	NA	Community	372.3
1	Switzerland	E	L3P041	2	2	4	72	64	Yes	Yes	No	NA	NA	NA	NA	NA	Community	220
1	Switzerland	D	L3P015	4	2	4	73	65	Yes	Yes	No	NA	NA	NA	NA	NA	Community	293.4
1	Switzerland	E	L3P050	4	2	4	73	65	Yes	Yes	No	NA	NA	NA	NA	NA	Community	346.7
1	Switzerland	D	L3P016	4	1	1	74	66	Yes	No	No	NA	NA	NA	NA	NA	Community	641
1	Switzerland	E	L3P054	4	1	1	74	66	Yes	No	No	NA	NA	NA	NA	NA	Community	345.8
1	Switzerland	D	L3P017	2	2	4	75	67	Yes	Yes	No	NA	NA	NA	NA	NA	Community	131.4
1	Switzerland	E	L3P046	2	2	4	75	67	Yes	Yes	No	NA	NA	NA	NA	NA	Community	161.4
1	Switzerland	D	L3P018	8	2	4	76	68	Yes	Yes	No	NA	NA	NA	NA	NA	Community	298.6
1	Switzerland	E	L3P063	8	2	4	76	68	Yes	Yes	No	NA	NA	NA	NA	NA	Community	278.9
1	Switzerland	D	L3P019	32	3	7	77	69	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	794.6
1	Switzerland	E	L3P034	32	3	7	77	69	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	1125.7
1	Switzerland	D	L3P020	2	1	1	78	70	Yes	No	No	NA	NA	NA	NA	NA	Community	263.5
1	Switzerland	E	L3P052	2	1	1	78	70	Yes	No	No	NA	NA	NA	NA	NA	Community	194.4
1	Switzerland	D	L3P021	8	3	7	79	71	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	834.7
1	Switzerland	E	L3P039	8	3	7	79	71	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	1181.1
1	Switzerland	D	L3P022	2	2	5	80	72	Yes	No	Yes	NA	NA	NA	NA	NA	Community	946.9
1	Switzerland	E	L3P064	2	2	5	80	72	Yes	No	Yes	NA	NA	NA	NA	NA	Community	789.6
1	Switzerland	D	L3P023	4	3	7	81	73	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	273.1
1	Switzerland	E	L3P056	4	3	7	81	73	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	453.8
1	Switzerland	D	L3P024	1	1	1	82	74	Yes	No	No	NA	NA	NA	NA	NA	Community	420.5
1	Switzerland	E	L3P061	1	1	1	82	74	Yes	No	No	NA	NA	NA	NA	NA	Community	472.3
1	Switzerland	D	L3P025	2	1	1	83	75	Yes	No	No	NA	NA	NA	NA	NA	Community	140.3
1	Switzerland	E	L3P057	2	1	1	83	75	Yes	No	No	NA	NA	NA	NA	NA	Community	173.3
1	Switzerland	D	L3P026	1	1	1	84	76	Yes	No	No	NA	NA	NA	NA	NA	Community	88.5
1	Switzerland	E	L3P053	1	1	1	84	76	Yes	No	No	NA	NA	NA	NA	NA	Community	136.4
1	Switzerland	D	L3P027	32	3	7	85	77	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	848.9
1	Switzerland	E	L3P060	32	3	7	85	77	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	502.1
1	Switzerland	D	L3P028	1	1	1	86	78	Yes	No	No	NA	NA	NA	NA	NA	Community	265.4
1	Switzerland	E	L3P058	1	1	1	86	78	Yes	No	No	NA	NA	NA	NA	NA	Community	337.4
1	Switzerland	D	L3P029	4	2	5	87	79	Yes	No	Yes	NA	NA	NA	NA	NA	Community	878.2
1	Switzerland	E	L3P033	4	2	5	87	79	Yes	No	Yes	NA	NA	NA	NA	NA	Community	1184
1	Switzerland	D	L3P030	8	2	5	88	80	Yes	No	Yes	NA	NA	NA	NA	NA	Community	243
1	Switzerland	E	L3P055	8	2	5	88	80	Yes	No	Yes	NA	NA	NA	NA	NA	Community	780.6
1	Switzerland	D	L3P032	1	1	2	89	81	No	Yes	No	NA	NA	NA	NA	NA	Community	91.1
1	Switzerland	E	L3P037	1	1	2	89	81	No	Yes	No	NA	NA	NA	NA	NA	Community	199.4
1	Greece	F	M4P003	1	1	2	90	82	No	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P050	1	1	2	90	82	No	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P028	1	1	1	91	83	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P043	1	1	1	91	83	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P015	1	1	2	92	84	No	Yes	No	NA	NA	NA	NA	NA	Community	312.4
1	Greece	G	M4P031	1	1	2	92	84	No	Yes	No	NA	NA	NA	NA	NA	Community	1110.5
1	Greece	F	M4P014	1	1	1	93	85	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P052	1	1	1	93	85	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P030	1	1	2	94	86	No	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P039	1	1	2	94	86	No	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P021	1	1	1	95	87	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P049	1	1	1	95	87	Yes	No	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P004	1	1	3	96	88	No	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P047	1	1	3	96	88	No	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P010	2	2	6	97	89	No	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P034	2	2	6	97	89	No	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P027	2	2	5	98	90	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P033	2	2	5	98	90	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P011	2	2	4	99	91	Yes	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P037	2	2	4	99	91	Yes	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P020	2	2	4	100	92	Yes	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P056	2	2	4	100	92	Yes	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P001	2	2	5	101	93	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P048	2	2	5	101	93	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P017	2	1	1	102	94	Yes	No	No	NA	NA	NA	NA	NA	Community	1
1	Greece	G	M4P036	2	1	1	102	94	Yes	No	No	NA	NA	NA	NA	NA	Community	0.4
1	Greece	F	M4P005	4	2	4	103	95	Yes	Yes	No	NA	NA	NA	NA	NA	Community	44.2
1	Greece	G	M4P053	4	2	4	103	95	Yes	Yes	No	NA	NA	NA	NA	NA	Community	22.5
1	Greece	F	M4P023	4	2	5	104	96	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P045	4	2	5	104	96	Yes	No	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P006	4	3	7	105	97	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	41.9
1	Greece	G	M4P042	4	3	7	105	97	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P016	4	2	4	106	98	Yes	Yes	No	NA	NA	NA	NA	NA	Community	2
1	Greece	G	M4P060	4	2	4	106	98	Yes	Yes	No	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P018	4	3	7	107	99	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P035	4	3	7	107	99	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P019	8	3	7	108	100	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P058	8	3	7	108	100	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	5.5
1	Greece	F	M4P024	8	3	7	109	101	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	421.4
1	Greece	G	M4P044	8	3	7	109	101	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	112.9
1	Greece	F	M4P002	8	3	7	110	102	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	459.4
1	Greece	G	M4P051	8	3	7	110	102	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	40
1	Greece	F	M4P029	8	3	7	111	103	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	G	M4P041	8	3	7	111	103	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	0
1	Greece	F	M4P022	18	3	7	112	104	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	114.3
1	Greece	G	M4P046	18	3	7	112	104	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	58.5
1	Greece	F	M4P009	18	3	7	113	105	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	132.1
1	Greece	G	M4P038	18	3	7	113	105	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	35.9
1	Greece	F	M4P012	18	3	7	114	106	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	115.7
1	Greece	G	M4P054	18	3	7	114	106	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	13.7
1	Greece	F	M4P026	18	3	7	115	107	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	199.3
1	Greece	G	M4P032	18	3	7	115	107	Yes	Yes	Yes	NA	NA	NA	NA	NA	Community	152.8
1	Ireland	H	R5P017	1	1	1	116	1	Yes	No	No	NA	NA	NA	NA	NA	Community	477.6
1	Ireland	I	R5P041	1	1	1	116	1	Yes	No	No	NA	NA	NA	NA	NA	Community	272.4
1	Ireland	H	R5P005	1	1	1	117	5	Yes	No	No	NA	NA	NA	NA	NA	Community	830.8
1	Ireland	I	R5P072	1	1	1	117	5	Yes	No	No	NA	NA	NA	NA	NA	Community	692
1	Ireland	H	R5P010	1	1	3	118	7	No	No	Yes	NA	NA	NA	NA	NA	Community	331.6
1	Ireland	I	R5P060	1	1	3	118	7	No	No	Yes	NA	NA	NA	NA	NA	Community	177.6
1	Ireland	H	R5P027	1	1	2	119	9	No	Yes	No	NA	NA	NA	NA	NA	Community	550.8
1	Ireland	I	R5P063	1	1	2	119	9	No	Yes	No	NA	NA	NA	NA	NA	Community	332
1	Ireland	H	R5P003	1	1	1	120	108	Yes	No	No	NA	NA	NA	NA	NA	Community	604.8
1	Ireland	I	R5P071	1	1	1	120	108	Yes	No	No	NA	NA	NA	NA	NA	Community	361.6
1	Ireland	H	R5P025	1	1	1	121	109	Yes	No	No	NA	NA	NA	NA	NA	Community	456.8
1	Ireland	I	R5P074	1	1	1	121	109	Yes	No	No	NA	NA	NA	NA	NA	Community	548.4
1	Ireland	H	R5P020	1	1	3	122	110	No	No	Yes	NA	NA	NA	NA	NA	Community	225.2
1	Ireland	I	R5P067	1	1	3	122	110	No	No	Yes	NA	NA	NA	NA	NA	Community	166
1	Ireland	H	R5P026	1	1	2	123	111	No	Yes	No	NA	NA	NA	NA	NA	Community	204.4
1	Ireland	I	R5P043	1	1	2	123	111	No	Yes	No	NA	NA	NA	NA	NA	Community	138.8
1	Ireland	H	R5P011	1	1	2	124	112	No	Yes	No	NA	NA	NA	NA	NA	Community	296.4
1	Ireland	I	R5P070	1	1	2	124	112	No	Yes	No	NA	NA	NA	NA	NA	Community	60.8
1	Ireland	H	R5P013	1	1	2	125	113	No	Yes	No	NA	NA	NA	NA	NA	Community	432.4
1	Ireland	I	R5P076	1	1	2	125	113	No	Yes	No	NA	NA	NA	NA	NA	Community	200.4
