site	sr	mix.nest	level	tempCV
Switzerland	4	64	Species	38.33801186
Switzerland	4	64	Species	69.41235373
Switzerland	4	64	Species	9.396113063
Switzerland	4	64	Species	91.86611645
Switzerland	4	64	Species	36.8613245
Switzerland	4	65	Species	84.57986229
Switzerland	4	65	Species	54.71262335
Switzerland	4	65	Species	88.41010401
Switzerland	4	65	Species	32.53910981
Switzerland	4	65	Species	108.9443338
Switzerland	4	65	Species	44.24121524
Switzerland	4	65	Species	50.52778686
Switzerland	4	65	Species	24.06754518
Switzerland	4	66	Community	26.45081576
Switzerland	4	66	Community	25.1067663
Switzerland	8	67	Community	27.55943921
Switzerland	8	67	Community	6.464937567
Switzerland	4	68	Community	14.54257118
Switzerland	4	68	Community	21.34741455
Switzerland	8	69	Species	133.0922976
Switzerland	8	69	Species	20.38984491
Switzerland	8	69	Species	173.2050808
Switzerland	8	69	Species	33.58092571
Switzerland	8	69	Species	70.70957192
Switzerland	8	69	Species	155.8845727
Switzerland	8	69	Species	128.0255152
Switzerland	8	69	Species	70.03743834
Switzerland	8	69	Species	61.28276297
Switzerland	8	69	Species	20.06005967
Switzerland	8	69	Species	141.4213562
Switzerland	8	69	Species	71.9724667
Switzerland	8	69	Species	94.23268986
Switzerland	8	69	Species	106.0660172
Switzerland	8	69	Species	173.2050808
Switzerland	8	69	Species	47.87671757
Switzerland	2	70	Species	54.11458286
Switzerland	2	70	Species	31.91084729
Switzerland	2	70	Species	44.93635541
Switzerland	2	70	Species	21.02653607
Switzerland	2	71	Species	19.01927664
Switzerland	2	71	Species	92.75867435
Switzerland	2	71	Species	21.84139154
Switzerland	2	71	Species	70.66449874
Switzerland	2	72	Community	21.7912238
Switzerland	2	72	Community	40.68887912
Switzerland	4	73	Species	119.2722596
Switzerland	4	73	Species	87.89197916
Switzerland	4	73	Species	87.24150382
Switzerland	4	73	Species	74.78535882
Switzerland	4	73	Species	101.4071103
Switzerland	4	73	Species	170.7016235
Switzerland	4	73	Species	103.0727825
Switzerland	4	73	Species	57.33547005
Switzerland	4	74	Community	32.0424404
Switzerland	4	74	Community	43.88280776
Switzerland	2	75	Species	14.9393714
Switzerland	2	75	Species	46.81624254
Switzerland	2	75	Species	20.42231948
Switzerland	2	75	Species	90.71536431
Switzerland	8	76	Species	62.52608854
Switzerland	8	76	Species	56.31647983
Switzerland	8	76	Species	47.21046616
Switzerland	8	76	Species	46.76096737
Switzerland	8	76	Species	108.3772103
Switzerland	8	76	Species	75.26629881
Switzerland	8	76	Species	91.10134808
Switzerland	8	76	Species	95.06480373
Switzerland	8	76	Species	65.26181112
Switzerland	8	76	Species	27.34501783
Switzerland	8	76	Species	56.4688378
Switzerland	8	76	Species	141.4213562
Switzerland	8	76	Species	91.41948234
Switzerland	8	76	Species	22.54718513
Switzerland	8	76	Species	121.9600605
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	136.9957128
Switzerland	32	77	Species	71.06763757
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	29.21982098
Switzerland	32	77	Species	26.45384931
Switzerland	32	77	Species	148.3009893
Switzerland	32	77	Species	77.25806802
Switzerland	32	77	Species	95.26846447
Switzerland	32	77	Species	88.19171037
Switzerland	32	77	Species	92.54817373
Switzerland	32	77	Species	146.2661366
Switzerland	32	77	Species	61.33419279
Switzerland	32	77	Species	153.8138729
Switzerland	32	77	Species	12.46433867
Switzerland	32	77	Species	173.2050808
Switzerland	32	77	Species	173.2050808
Switzerland	32	77	Species	90.90376641
Switzerland	32	77	Species	157.1929
Switzerland	32	77	Species	88.38834765
Switzerland	32	77	Species	44.9166607
Switzerland	32	77	Species	173.2050808
Switzerland	32	77	Species	63.32895661
Switzerland	32	77	Species	50.52334569
Switzerland	32	77	Species	121.2665597
Switzerland	32	77	Species	118.110649
Switzerland	32	77	Species	80.97422096
Switzerland	32	77	Species	56.78908346
Switzerland	32	77	Species	24.16406134
Switzerland	32	77	Species	39.68996055
Switzerland	32	77	Species	140.5889949
Switzerland	32	77	Species	129.2903709
Switzerland	32	77	Species	118.5779397
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	38.16485636
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	67.92406877
Switzerland	32	77	Species	121.2122947
Switzerland	32	77	Species	30.55718775
Switzerland	32	77	Species	141.4213562
Switzerland	32	77	Species	93.580962
Switzerland	32	77	Species	47.88933524
Switzerland	32	77	Species	148.442129
Switzerland	32	77	Species	66.7963617
Switzerland	32	77	Species	36.26046618
Switzerland	2	78	Species	33.03779213
Switzerland	2	78	Species	42.16312683
Switzerland	2	78	Species	35.44174667
Switzerland	2	78	Species	35.30485369
Switzerland	8	79	Species	107.742599
Switzerland	8	79	Species	126.1747993
Switzerland	8	79	Species	149.6398832
Switzerland	8	79	Species	78.80556252
Switzerland	8	79	Species	65.76409875
Switzerland	8	79	Species	94.37293044
Switzerland	8	79	Species	90.23639588
Switzerland	8	79	Species	132.5540958
Switzerland	8	79	Species	106.4362916
Switzerland	8	79	Species	129.402592
Switzerland	8	79	Species	167.6783994
Switzerland	8	79	Species	96.47836178
Switzerland	8	79	Species	85.02688828
Switzerland	8	79	Species	60.27281726
Switzerland	8	79	Species	116.1407079
Switzerland	8	79	Species	165.7834332
Switzerland	2	80	Community	42.58877808
Switzerland	2	80	Community	1.692249561
Switzerland	4	81	Species	69.34194719
Switzerland	4	81	Species	163.8482167
Switzerland	4	81	Species	130.8822974
Switzerland	4	81	Species	67.70715123
Switzerland	4	81	Species	75.03725581
Switzerland	4	81	Species	90.96101145
Switzerland	4	81	Species	74.8346892
Switzerland	4	81	Species	60.37113692
Switzerland	1	82	Community	48.56790987
Switzerland	1	82	Community	47.09489399
Switzerland	2	83	Species	95.07789945
Switzerland	2	83	Species	43.54805932
Switzerland	2	83	Species	91.74837852
Switzerland	2	83	Species	42.10569457
Switzerland	1	84	Species	13.34057547
Switzerland	1	84	Species	52.5110091
Switzerland	32	85	Species	78.54068406
Switzerland	32	85	Species	64.17848709
Switzerland	32	85	Species	63.54889093
Switzerland	32	85	Species	47.87248734
Switzerland	32	85	Species	57.4288428
Switzerland	32	85	Species	72.46302078
Switzerland	32	85	Species	173.2050808
Switzerland	32	85	Species	47.14045208
Switzerland	32	85	Species	6.843964038
Switzerland	32	85	Species	141.4213562
Switzerland	32	85	Species	120.5589051
Switzerland	32	85	Species	45.14930388
Switzerland	32	85	Species	90.94836413
Switzerland	32	85	Species	173.2050808
Switzerland	32	85	Species	64.25391009
Switzerland	32	85	Species	141.4213562
Switzerland	32	85	Species	135.445806
Switzerland	32	85	Species	56.96842987
Switzerland	32	85	Species	115.5506331
Switzerland	32	85	Species	43.70365182
Switzerland	32	85	Species	105.3430148
Switzerland	32	85	Species	86.93688254
Switzerland	32	85	Species	58.10293777
Switzerland	32	85	Species	38.48765312
Switzerland	32	85	Species	141.4213562
Switzerland	32	85	Species	39.2169539
Switzerland	32	85	Species	47.08307898
Switzerland	32	85	Species	18.18796297
Switzerland	32	85	Species	141.4213562
Switzerland	32	85	Species	104.9211621
Switzerland	32	85	Species	97.74073204
Switzerland	32	85	Species	156.2459352
Switzerland	32	85	Species	141.4213562
Switzerland	32	85	Species	100.0603818
Switzerland	32	85	Species	95.49033092
Switzerland	32	85	Species	110.1466743
Switzerland	32	85	Species	76.9028844
Switzerland	32	85	Species	104.0596097
Switzerland	32	85	Species	94.37293044
Switzerland	32	85	Species	107.2728722
Switzerland	32	85	Species	60.9084652
Switzerland	32	85	Species	75.91502026
Switzerland	32	85	Species	55.66412048
Switzerland	32	85	Species	71.29822411
Switzerland	32	85	Species	141.4213562
Switzerland	1	86	Species	24.03129641
Switzerland	1	86	Species	63.19145882
Switzerland	4	87	Community	47.19154628
Switzerland	4	87	Community	31.32730839
Switzerland	8	88	Community	31.26795402
Switzerland	8	88	Community	25.3116736
Switzerland	1	89	Community	38.01991155
Switzerland	1	89	Community	50.04520818
Greece	1	90	Species	128.4212434
Greece	1	90	Species	127.7598393
Greece	1	91	Community	119.7945474
Greece	1	91	Community	101.5739624
Greece	1	92	Species	32.38947569
Greece	1	92	Species	83.93860163
Greece	1	93	Species	141.0160838
Greece	1	93	Species	134.2095239
Greece	1	94	Species	90.01826803
Greece	1	94	Species	97.99577349
Greece	1	95	Species	119.2746232
Greece	1	95	Species	137.4048794
Greece	1	96	Community	86.8972744
Greece	1	96	Community	122.3568342
Greece	2	97	Species	133.6538544
Greece	2	97	Species	96.27651006
Greece	2	97	Species	143.1743854
Greece	2	97	Species	142.1633776
Greece	2	98	Community	87.56498785
Greece	2	98	Community	115.3274361
Greece	2	99	Community	97.03516867
Greece	2	99	Community	90.93246876
Greece	2	100	Community	132.8515361
Greece	2	100	Community	109.4636892
Greece	2	101	Community	153.3580133
Greece	2	101	Community	99.77369022
Greece	2	102	Species	148.189422
Greece	2	102	Species	110.3575122
Greece	2	102	Species	93.88323865
Greece	2	102	Species	120.5761513
Greece	4	103	Species	51.96143422
Greece	4	103	Species	108.338696
Greece	4	103	Species	139.6471467
Greece	4	103	Species	162.4446272
Greece	4	103	Species	46.8176964
Greece	4	103	Species	87.36305853
Greece	4	103	Species	120.7207132
Greece	4	103	Species	112.3287651
Greece	4	104	Community	86.61055719
Greece	4	104	Community	86.60713816
Greece	4	105	Species	140.0858867
Greece	4	105	Species	98.57479926
Greece	4	105	Species	105.804525
Greece	4	105	Species	14.27886893
Greece	4	105	Species	140.515808
Greece	4	105	Species	125.8825767
Greece	4	105	Species	127.9270221
Greece	4	105	Species	94.3056337
Greece	4	106	Community	104.1892029
Greece	4	106	Community	89.05645651
Greece	4	107	Community	97.4071668
Greece	4	107	Community	87.55651181
Greece	8	108	Species	159.8186853
Greece	8	108	Species	130.4970439
Greece	8	108	Species	164.4275381
Greece	8	108	Species	86.91617142
Greece	8	108	Species	91.6515139
Greece	8	108	Species	94.04490653
Greece	8	108	Species	140.4139113
Greece	8	108	Species	91.09269493
Greece	8	108	Species	101.0116924
Greece	8	108	Species	89.80554705
Greece	8	108	Species	173.2050808
Greece	8	108	Species	93.7869927
Greece	8	108	Species	103.7211935
Greece	8	108	Species	89.58734172
Greece	8	108	Species	155.9801358
Greece	8	108	Species	88.03726184
Greece	8	109	Community	51.8686943
Greece	8	109	Community	51.5874445
Greece	8	110	Species	51.96958302
Greece	8	110	Species	102.8799504
Greece	8	110	Species	102.6724416
Greece	8	110	Species	153.6537258
Greece	8	110	Species	110.3854036
Greece	8	110	Species	171.3402235
Greece	8	110	Species	124.1284194
Greece	8	110	Species	12.7454076
Greece	8	110	Species	107.8547776
Greece	8	110	Species	138.5759928
Greece	8	110	Species	164.895199
Greece	8	110	Species	101.5254556
Greece	8	110	Species	129.4640404
Greece	8	110	Species	173.2050808
Greece	8	110	Species	86.83199901
Greece	8	111	Community	94.35144136
Greece	8	111	Community	86.60333663
Greece	18	112	Community	34.89729286
Greece	18	112	Community	79.09898018
Greece	18	113	Species	41.80603409
Greece	18	113	Species	119.6087371
Greece	18	113	Species	132.1612014
Greece	18	113	Species	173.2050808
Greece	18	113	Species	87.20983037
Greece	18	113	Species	173.2050808
Greece	18	113	Species	119.1394766
Greece	18	113	Species	107.1863782
Greece	18	113	Species	74.8015102
Greece	18	113	Species	115.9015224
Greece	18	113	Species	173.2050808
Greece	18	113	Species	147.5912084
Greece	18	113	Species	113.4302177
Greece	18	113	Species	173.2050808
Greece	18	113	Species	135.2184295
Greece	18	113	Species	173.2050808
Greece	18	113	Species	173.2050808
Greece	18	113	Species	95.54345951
Greece	18	113	Species	23.9608442
Greece	18	113	Species	138.9930965
Greece	18	113	Species	86.94247238
Greece	18	113	Species	173.2050808
Greece	18	113	Species	109.8361611
Greece	18	113	Species	173.2050808
Greece	18	113	Species	107.0365163
Greece	18	113	Species	87.40244259
Greece	18	113	Species	85.04457502
Greece	18	113	Species	173.2050808
Greece	18	113	Species	171.4585099
Greece	18	113	Species	169.2719876
Greece	18	113	Species	91.19389525
Greece	18	113	Species	159.7262201
Greece	18	113	Species	97.64815971
Greece	18	113	Species	159.7262201
Greece	18	113	Species	164.895199
Greece	18	114	Species	76.70884307
Greece	18	114	Species	173.2050808
Greece	18	114	Species	87.70549226
Greece	18	114	Species	173.2050808
Greece	18	114	Species	173.2050808
Greece	18	114	Species	140.1604067
Greece	18	114	Species	152.1965901
Greece	18	114	Species	161.959931
Greece	18	114	Species	156.8653114
Greece	18	114	Species	117.089894
Greece	18	114	Species	86.66132704
Greece	18	114	Species	173.2050808
Greece	18	114	Species	107.6330671
Greece	18	114	Species	126.5729436
Greece	18	114	Species	95.174428
Greece	18	114	Species	138.6512057
Greece	18	114	Species	77.38071115
Greece	18	114	Species	102.4639752
Greece	18	114	Species	153.9994466
Greece	18	114	Species	173.2050808
Greece	18	114	Species	173.2050808
Greece	18	114	Species	122.3056732
Greece	18	114	Species	106.5681574
Greece	18	114	Species	95.77867048
Greece	18	114	Species	173.2050808
Greece	18	114	Species	173.2050808
Greece	18	114	Species	129.2330196
Greece	18	114	Species	157.7213779
Greece	18	114	Species	173.2050808
Greece	18	114	Species	102.2233513
Greece	18	114	Species	93.0376268
Greece	18	115	Species	94.93337495
Greece	18	115	Species	173.2050808
Greece	18	115	Species	87.33933528
Greece	18	115	Species	173.2050808
Greece	18	115	Species	88.27242213
Greece	18	115	Species	100
Greece	18	115	Species	16.16388372
Greece	18	115	Species	154.767874
Greece	18	115	Species	171.4578573
Greece	18	115	Species	173.2050808
Greece	18	115	Species	155.018103
Greece	18	115	Species	173.2050808
Greece	18	115	Species	173.2050808
Greece	18	115	Species	173.2050808
Greece	18	115	Species	109.6793796
Greece	18	115	Species	158.2763866
Greece	18	115	Species	94.18047148
Greece	18	115	Species	173.2050808
Greece	18	115	Species	101.5672608
Greece	18	115	Species	173.2050808
Greece	18	115	Species	173.2050808
Greece	18	115	Species	113.4302177
Greece	18	115	Species	100.5194289
Greece	18	115	Species	154.5070045
Greece	18	115	Species	144.2835113
Greece	18	115	Species	172.8655742
Greece	18	115	Species	173.2050808
Greece	18	115	Species	173.2050808
Greece	18	115	Species	103.5654327
Greece	18	115	Species	173.2050808
Greece	18	115	Species	166.5877525
Greece	18	115	Species	91.44011645
Greece	18	115	Species	120.5774672
Ireland	1	116	Community	55.56243328
Ireland	1	116	Community	3.741743254
Ireland	1	117	Species	31.4089156
Ireland	1	117	Species	34.86258172
Ireland	1	118	Community	73.96880259
Ireland	1	118	Community	91.10622826
Ireland	1	119	Species	25.95659624
Ireland	1	119	Species	47.52481058
Ireland	1	120	Species	52.25551673
Ireland	1	120	Species	52.69285527
Ireland	1	121	Species	29.15748796
Ireland	1	121	Species	19.17083534
Ireland	1	122	Species	72.61101322
Ireland	1	122	Species	103.5621303
Ireland	1	123	Community	43.18344695
Ireland	1	123	Community	43.60667864
Ireland	1	124	Species	78.12904192
Ireland	1	124	Species	58.91342514
Ireland	1	125	Species	22.88133718
Ireland	1	125	Species	13.31814612
Ireland	2	126	Species	73.73948242
Ireland	2	126	Species	16.8432628
Ireland	2	126	Species	128.6405331
Ireland	2	126	Species	12.10045282
Ireland	2	127	Species	107.1136932
Ireland	2	127	Species	12.6812582
Ireland	2	127	Species	43.55027322
Ireland	2	127	Species	37.61260487
Ireland	2	128	Species	33.80544029
Ireland	2	128	Species	173.2050808
Ireland	2	128	Species	29.55332631
Ireland	2	128	Species	173.2050808
Ireland	2	129	Species	68.73739519
Ireland	2	129	Species	66.73382959
Ireland	2	129	Species	72.72057222
Ireland	2	129	Species	105.5140166
Ireland	2	130	Species	4.683387111
Ireland	2	130	Species	152.6295636
Ireland	2	130	Species	38.93275412
Ireland	2	130	Species	126.7583991
Ireland	2	131	Species	95.05704743
Ireland	2	131	Species	23.31873416
Ireland	2	131	Species	66.7884183
Ireland	2	131	Species	56.58432577
Ireland	2	132	Species	92.91003529
Ireland	2	132	Species	125.8861154
Ireland	2	132	Species	28.19485914
Ireland	2	132	Species	141.3357428
Ireland	2	133	Community	8.590730089
Ireland	2	133	Community	33.76266385
Ireland	3	134	Community	19.57758182
Ireland	3	134	Community	11.77525182
Ireland	3	135	Community	21.24335447
Ireland	3	135	Community	22.93004791
Ireland	4	136	Species	110.526335
Ireland	4	136	Species	55.35798705
Ireland	4	136	Species	49.66840937
Ireland	4	136	Species	32.6570631
Ireland	4	136	Species	45.50678089
Ireland	4	136	Species	48.71975943
Ireland	4	136	Species	11.83783382
Ireland	4	136	Species	38.16063108
Ireland	4	136	Species	81.25947499
Ireland	4	136	Species	27.93244695
Ireland	4	136	Species	15.92554853
Ireland	4	136	Species	25.76783503
Ireland	4	136	Species	58.20367935
Ireland	4	136	Species	30.97933856
Ireland	4	136	Species	15.99936172
Ireland	4	136	Species	14.68013026
Ireland	4	137	Species	14.83281141
Ireland	4	137	Species	43.97846382
Ireland	4	137	Species	173.2050808
Ireland	4	137	Species	173.2050808
Ireland	4	137	Species	15.18095598
Ireland	4	137	Species	55.24541959
Ireland	4	137	Species	86.60254038
Ireland	4	137	Species	173.2050808
Ireland	4	138	Species	44.65614546
Ireland	4	138	Species	69.41055769
Ireland	4	138	Species	146.4844727
Ireland	4	138	Species	171.3121736
Ireland	4	138	Species	98.3674826
Ireland	4	138	Species	5.191679744
Ireland	4	138	Species	141.4213562
Ireland	4	138	Species	141.4213562
Ireland	4	139	Species	34.8338435
Ireland	4	139	Species	106.8649538
Ireland	4	139	Species	64.48620559
Ireland	4	139	Species	50
Ireland	4	139	Species	30.47686212
Ireland	4	139	Species	50
Ireland	4	139	Species	19.10713596
Ireland	4	139	Species	107.8547776
Ireland	4	140	Community	40.85044539
Ireland	4	140	Community	68.53048191
Ireland	4	141	Species	8.035071696
Ireland	4	141	Species	17.25411403
Ireland	4	141	Species	173.2050808
Ireland	4	141	Species	135.7393185
Ireland	4	141	Species	35.35343889
Ireland	4	141	Species	30.15029988
Ireland	4	141	Species	89.21425712
Ireland	4	141	Species	151.4433182
Ireland	4	142	Community	44.35491691
Ireland	4	142	Community	97.64997721
Ireland	4	143	Species	15.17764847
Ireland	4	143	Species	41.25316819
Ireland	4	143	Species	79.39523478
Ireland	4	143	Species	122.4116636
Ireland	4	143	Species	28.2125332
Ireland	4	143	Species	173.2050808
Ireland	4	143	Species	93.30957836
Ireland	4	143	Species	158.1685842
Ireland	4	144	Community	77.37450933
Ireland	4	144	Community	40.16328433
Ireland	8	145	Community	42.75407743
Ireland	8	145	Community	34.45231038
Ireland	8	146	Species	94.24206706
Ireland	8	146	Species	17.09916304
Ireland	8	146	Species	48.6959658
Ireland	8	146	Species	71.14785766
Ireland	8	146	Species	128.8407294
Ireland	8	146	Species	86.60254038
Ireland	8	146	Species	124.89996
Ireland	8	146	Species	87.31240914
Ireland	8	146	Species	101.4947458
Ireland	8	146	Species	40.96910184
Ireland	8	146	Species	38.95659543
Ireland	8	146	Species	128.720072
